/tmp/litex-boards
date,command,observations
Sun 13 Sep 2020 01:37:39 PM -05,git remote add upstream https://github.com/litex-hub/litex-boards.git,Adicionando repositorio original como upstream repository
Sun 13 Sep 2020 01:38:24 PM -05,git remote -v,observandor ambos path de repositorios
Sun 13 Sep 2020 01:39:08 PM -05,git fetch upstream,traer cambios del original
Sun 13 Sep 2020 01:40:02 PM -05,git merge upstream/master,mezclando
